name;code;startLicense
北京市;110000;京
北京市辖区;110100;京
北京市县;110200;京
天津市;120000;津
天津市辖区;120100;津
天津市县;120200;津
河北省;130000;冀
河北省石家庄市;130100;冀A
河北省唐山市;130200;冀B
河北省秦皇岛市;130300;冀C
河北省邯郸市;130400;冀D
河北省邢台市;130500;冀E
河北省保定市;130600;冀F
河北省张家口市;130700;冀G
河北省承德市;130800;冀H
河北省沧州市;130900;冀J
河北省廊坊市;131000;冀R
河北省衡水市;131100;冀T
山西省;140000;晋
山西省太原市;140100;晋A
山西省大同市;140200;晋B
山西省阳泉市;140300;晋C
山西省长治市;140400;晋D
山西省晋城市;140500;晋E
山西省朔州市;140600;晋F
山西省晋中市;140700;晋K
山西省运城市;140800;晋M
山西省忻州市;140900;晋H
山西省临汾市;141000;晋L
山西省吕梁市;141100;晋J
内蒙古自治区;150000;蒙
内蒙古自治区呼和浩特市;150100;蒙A
内蒙古自治区包头市;150200;蒙B
内蒙古自治区乌海市;150300;蒙C
内蒙古自治区赤峰市;150400;蒙D
内蒙古自治区通辽市;150500;蒙
内蒙古自治区鄂尔多斯市;150600;蒙
内蒙古自治区呼伦贝尔市;150700;蒙E
内蒙古自治区巴彦淖尔市;150800;蒙K
内蒙古自治区乌兰察布市;150900;蒙H
内蒙古自治区丰镇市兴安盟;152200;蒙
内蒙古自治区丰镇市锡林郭勒盟;152500;蒙G
内蒙古自治区丰镇市阿拉善盟;152900;蒙L
辽宁省;210000;辽
辽宁省沈阳市;210100;辽A
辽宁省大连市;210200;辽B
辽宁省鞍山市;210300;辽C
辽宁省抚顺市;210400;辽D
辽宁省本溪市;210500;辽E
辽宁省丹东市;210600;辽F
辽宁省锦州市;210700;辽G
辽宁省营口市;210800;辽H
辽宁省阜新市;210900;辽J
辽宁省辽阳市;211000;辽K
辽宁省盘锦市;211100;辽L
辽宁省铁岭市;211200;辽M
辽宁省朝阳市;211300;辽N
辽宁省葫芦岛市;211400;辽P
吉林省;220000;吉
吉林省长春市;220100;吉A
吉林省吉林省市;220200;吉B
吉林省四平市;220300;吉C
吉林省辽源市;220400;吉D
吉林省通化市;220500;吉E
吉林省白山市;220600;吉F
吉林省松原市;220700;吉
吉林省白城市;220800;吉G
吉林省延边市朝鲜族自治州;222400;吉H
黑龙江省;230000;黑
黑龙江省哈尔滨市;230100;黑A
黑龙江省齐齐哈尔市;230200;黑B
黑龙江省鸡西市;230300;黑G
黑龙江省鹤岗市;230400;黑H
黑龙江省双鸭山市;230500;黑J
黑龙江省大庆市;230600;黑E
黑龙江省伊春市;230700;黑F
黑龙江省佳木斯市;230800;黑D
黑龙江省七台河市;230900;黑K
黑龙江省牡丹江市;231000;黑C
黑龙江省黑河市;231100;黑N
黑龙江省绥化市;231200;黑M
黑龙江省大兴安岭市地区;232700;黑P
上海市;310000;沪
上海市辖区;310100;沪
上海市县;310200;沪
江苏省;320000;苏
江苏省南京市;320100;苏A
江苏省无锡市;320200;苏B
江苏省徐州市;320300;苏C
江苏省常州市;320400;苏D
江苏省苏州市;320500;苏E
江苏省南通市;320600;苏F
江苏省连云港市;320700;苏G
江苏省淮安市;320800;苏
江苏省盐城市;320900;苏J
江苏省扬州市;321000;苏K
江苏省镇江市;321100;苏L
江苏省泰州市;321200;苏M
江苏省宿迁市;321300;苏N
浙江省;330000;浙
浙江省杭州市;330100;浙A
浙江省宁波市;330200;浙B
浙江省温州市;330300;浙C
浙江省嘉兴市;330400;浙F
浙江省湖州市;330500;浙E
浙江省绍兴市;330600;浙D
浙江省金华市;330700;浙G
浙江省衢州市;330800;浙H
浙江省舟山市;330900;浙L
浙江省台州市;331000;浙J
浙江省丽水市;331100;浙K
安徽省;340000;皖
安徽省合肥市;340100;皖A
安徽省芜湖市;340200;皖B
安徽省蚌埠市;340300;皖C
安徽省淮南市;340400;皖D
安徽省马鞍山市;340500;皖E
安徽省淮北市;340600;皖F
安徽省铜陵市;340700;皖G
安徽省安庆市;340800;皖H
安徽省黄山市;341000;皖J
安徽省滁州市;341100;皖M
安徽省阜阳市;341200;皖K
安徽省宿州市;341300;皖L
安徽省巢湖市;341400;皖Q
安徽省六安市;341500;皖N
安徽省亳州市;341600;皖S
安徽省池州市;341700;皖R
安徽省宣城市;341800;皖P
福建省;350000;闽
福建省福州市;350100;闽A
福建省厦门市;350200;闽D
